id,name,activity_type,distance,elevation_gain,elevation_low,elevation_high,best_time,average_top_10_time,total_effort_count,total_athlete_count
8506922,montée des Avirons par D17,Ride,2088.5,101.0,62.8,163.8,,,20738,2883
22990358,Faux plat pond Mulat,Ride,543.0,2.0,15.0,17.0,,,159356,9373
24329234,Debout Sur les Pédales,Ride,360.8,19.4,13.8,33.2,,,23705,3778
19455779,Etang Salé - St Leu AR,Ride,23781.2,165.4,-25.0,15.6,,,8787,1540
16141737,Etang salé Trou d'eau Etang salé ,Ride,44379.8,348.6,15.8,63.8,,,4336,826
24095809,Vent dans le faux plat,Ride,1329.0,14.0,92.0,100.0,,,68111,7816
24095776,Demi-tour drifté chauffe la gomme !,Ride,341.0,7.0,95.0,102.0,,,1506,640
25288618,2nd Single Track RDS,Ride,659.7,2.6,53.4,57.2,,,2762,313
18788047,Nouvelle partie rds 2018 ,Ride,720.6,7.0,-11.2,-6.6,,,1717,296
5321310,BAS3 Raid des Sables,Ride,270.1,11.1,34.5,45.6,,,3417,833
8151165,voie canniere rn3,Ride,2406.2,0.0,139.3,263.0,,,18809,2368
5942362,pont ouaki/pont entre deux,Ride,2145.0,163.0,111.1,247.9,,,17736,2643
11202685,Rte des sables-usine du Gol,Ride,2097.5,15.6,7.1,17.7,,,72731,6737
3624193,Chemin Juliette Dodu Climb,Ride,356.123,103.134,146.5,247.8,,,20645,2848
17087706,Ligne droite exotica,Ride,1227.7,26.7,68.2,94.9,,,38162,4176
18036527,montee du Woaki 97421,Ride,2101.6,103.8,126.8,230.6,,,11817,2985
23364395,Pont RSE (SP-SL),Ride,504.3,0.0,57.0,60.6,,,46251,4776
12928902,Rte de pierrefonds,Ride,4540.6,69.8,7.4,62.3,,,27301,3800
23259830,Ravine du Gol-Avenue Pasteur,Ride,351.7,3.8,35.0,38.8,,,36361,4473
16903143,montée canots bb croisée lambert ,Ride,1553.0,120.6,51.1,171.7,,,1759,707
5103103,notre dame de la paix,Ride,11847.1,1106.4,580.0,1686.4,,,2261,987
10729105,ST JO-PG1,Ride,6341.4,453.8,59.2,435.0,,,10870,1547
13728085,Montée des Lianes - Mica,Ride,4067.8,189.0,438.0,623.0,,,15196,1943
6405426,Montée L'Anse,Ride,1690.3,87.8,36.8,119.0,,,29924,5001
17258588,Tampon-Berive,Ride,3896.9,69.6,554.0,602.0,,,19735,2104
9827970,montee au stop ,Ride,5851.4,358.2,152.3,437.2,,,5844,1387
19358372,Rue du bel air,Ride,1774.0,101.3,593.6,694.9,,,4077,641
15437615,Montée Piton des Goyaves,Ride,2405.5,88.6,615.0,685.1,,,19599,2100
17073484,Piton goyave Punch,Ride,1778.8,30.9,644.1,675.0,,,23358,2471
9648074,Chemin Boissy Climb part.,Ride,5779.9,427.0,108.4,535.4,,,1904,539
